epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1333.45,1.17075,0.71686,1.21044,0.75545,0.71034,0.74375,0.50254,1.53525,0.90393,1.63599,0.0089308,0.0089308,0.0089308
56,1357.03,1.18569,0.72884,1.2262,0.81982,0.74362,0.78009,0.51677,1.53879,0.84628,1.6444,0.008911,0.008911,0.008911
57,1380.64,1.17929,0.73595,1.22674,0.80652,0.68582,0.75311,0.49052,1.55771,0.90771,1.66515,0.0088912,0.0088912,0.0088912
58,1404.3,1.16729,0.70314,1.20844,0.83178,0.71854,0.7684,0.51821,1.54371,0.85085,1.63041,0.0088714,0.0088714,0.0088714
59,1427.94,1.16228,0.71126,1.21293,0.77916,0.69173,0.77967,0.51973,1.54682,0.84438,1.64754,0.0088516,0.0088516,0.0088516
60,1451.43,1.15743,0.70072,1.20421,0.8721,0.66302,0.75429,0.50257,1.5558,0.87669,1.63882,0.0088318,0.0088318,0.0088318
61,1474.99,1.17148,0.69916,1.21166,0.85611,0.73896,0.8033,0.53892,1.53207,0.83077,1.63527,0.008812,0.008812,0.008812
62,1498.66,1.1695,0.69652,1.20226,0.77428,0.69856,0.7757,0.52675,1.54632,0.85279,1.65612,0.0087922,0.0087922,0.0087922
63,1522.24,1.13876,0.68411,1.20333,0.72074,0.63746,0.73248,0.48887,1.53408,0.92281,1.64967,0.0087724,0.0087724,0.0087724
64,1545.96,1.15034,0.70293,1.21438,0.78656,0.72803,0.78771,0.52339,1.53069,0.83444,1.62087,0.0087526,0.0087526,0.0087526
65,1569.51,1.14194,0.68526,1.19938,0.78987,0.73955,0.75255,0.50883,1.58632,0.91685,1.71026,0.0087328,0.0087328,0.0087328
66,1593.13,1.14189,0.6861,1.20253,0.83966,0.72177,0.78306,0.51034,1.54892,0.84959,1.65387,0.008713,0.008713,0.008713
67,1616.82,1.13194,0.6755,1.19047,0.78948,0.75112,0.78101,0.51173,1.54924,0.87647,1.62313,0.0086932,0.0086932,0.0086932
68,1640.48,1.14453,0.67557,1.19054,0.80236,0.71645,0.73365,0.49466,1.53764,0.88646,1.63427,0.0086734,0.0086734,0.0086734
69,1664.32,1.1387,0.67417,1.19473,0.81839,0.69193,0.75866,0.52195,1.53378,0.88205,1.61564,0.0086536,0.0086536,0.0086536
70,1688.06,1.12762,0.66884,1.18234,0.85248,0.67143,0.76143,0.49401,1.5846,0.90199,1.69218,0.0086338,0.0086338,0.0086338
71,1711.8,1.13518,0.66995,1.18598,0.7983,0.79316,0.81008,0.53688,1.52143,0.86105,1.64352,0.008614,0.008614,0.008614
72,1735.47,1.11868,0.65823,1.18341,0.82483,0.73,0.78091,0.52483,1.55468,0.88902,1.72185,0.0085942,0.0085942,0.0085942
73,1759.06,1.1197,0.65559,1.17389,0.73455,0.71361,0.75765,0.51273,1.55916,0.89236,1.67689,0.0085744,0.0085744,0.0085744
74,1782.72,1.11613,0.65584,1.17638,0.80722,0.73144,0.76536,0.52667,1.56482,0.88299,1.6651,0.0085546,0.0085546,0.0085546
75,1806.54,1.12873,0.65762,1.1796,0.83665,0.72234,0.78736,0.53608,1.54145,0.86793,1.67168,0.0085348,0.0085348,0.0085348
76,1830.28,1.12842,0.65192,1.17626,0.74918,0.71839,0.76402,0.52324,1.54131,0.83723,1.61767,0.008515,0.008515,0.008515
77,1854.06,1.10056,0.65718,1.18193,0.83716,0.6919,0.75534,0.51353,1.55383,0.87276,1.68786,0.0084952,0.0084952,0.0084952
78,1877.72,1.10725,0.65049,1.17393,0.81231,0.72268,0.79011,0.52779,1.55424,0.86058,1.67854,0.0084754,0.0084754,0.0084754
79,1901.51,1.11384,0.64288,1.17187,0.76433,0.81179,0.81087,0.54711,1.55184,0.8513,1.66596,0.0084556,0.0084556,0.0084556
80,1925.19,1.0982,0.64633,1.17351,0.80998,0.78007,0.80639,0.53612,1.56456,0.864,1.66364,0.0084358,0.0084358,0.0084358
81,1948.71,1.10081,0.64174,1.17351,0.81942,0.71541,0.76542,0.51653,1.56117,0.86213,1.67679,0.008416,0.008416,0.008416
82,1972.32,1.08292,0.64566,1.17157,0.81083,0.71077,0.76063,0.5233,1.58842,0.88172,1.70306,0.0083962,0.0083962,0.0083962
83,1995.94,1.09205,0.63966,1.16686,0.83648,0.739,0.79432,0.53031,1.53748,0.85068,1.64432,0.0083764,0.0083764,0.0083764
84,2019.54,1.10736,0.63495,1.16396,0.82588,0.74846,0.77385,0.52912,1.53467,0.85245,1.66008,0.0083566,0.0083566,0.0083566
85,2043.15,1.09236,0.63501,1.16744,0.83746,0.68938,0.76592,0.52679,1.53974,0.85691,1.66518,0.0083368,0.0083368,0.0083368
